"Part","Value","Device","Package","Description","MF","MPN","OC_FARNELL","OC_NEWARK","PROD_ID","SF_ID",
"A-MOT1","","1X4-BIG","1X04-BIG","4-pin connector","","","","","","",
"A-MOT2","","M04SCREW","SCREWTERMINAL-3.5MM-4","Header 4","","","","","","",
"A_STP","","LEDCHIP-LED0805","CHIP-LED0805","LED","","","","","","",
"B-MOT1","","1X4-BIG","1X04-BIG","4-pin connector","","","","","","",
"B-MOT2","","M04SCREW","SCREWTERMINAL-3.5MM-4","Header 4","","","","","","",
"B_STP","","LEDCHIP-LED0805","CHIP-LED0805","LED","","","","","","",
"C-MOT1","","1X4-BIG","1X04-BIG","4-pin connector","","","","","","",
"C-MOT2","","M04SCREW","SCREWTERMINAL-3.5MM-4","Header 4","","","","","","",
"C1","100uF","CPOL-EU153CLV-0605","153CLV-0605","POLARIZED CAPACITOR, European symbol","","","","","","",
"C3","100uF","CPOL-EU153CLV-0605","153CLV-0605","POLARIZED CAPACITOR, European symbol","","","","","","",
"C4","100uF","CPOL-EU153CLV-0605","153CLV-0605","POLARIZED CAPACITOR, European symbol","","","","","","",
"C5","3.3nF","C-EUC0805K","C0805K","CAPACITOR, European symbol","","","","","","",
"C6","100nF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","",
"C7","100nF","C-EUC0805K","C0805K","CAPACITOR, European symbol","","","","","","",
"C8","10nF","C-EUC0805K","C0805K","CAPACITOR, European symbol","","","","","","",
"C9","100nF","C-EUC0805K","C0805K","CAPACITOR, European symbol","","","","","","",
"C10","100nF","C-EUC0805K","C0805K","CAPACITOR, European symbol","","","","","","",
"C11","220uF","CPOL-EU153CLV-0807","153CLV-0807","POLARIZED CAPACITOR, European symbol","","","","","","",
"C12","220uF","CPOL-EU153CLV-0807","153CLV-0807","POLARIZED CAPACITOR, European symbol","","","","","","",
"C13","100nF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","",
"C14","100nF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","",
"CN1","","1X4-CLEANBIG","1X04-CLEANBIG","4-pin connector","","","","","","",
"CN2","","1X4-CLEANBIG","1X04-CLEANBIG","4-pin connector","","","","","","",
"CN3","","1X4-CLEANBIG","1X04-CLEANBIG","4-pin connector","","","","","","",
"CN4","","1X4-CLEANBIG","1X04-CLEANBIG","4-pin connector","","","","","","",
"C_STP","","LEDCHIP-LED0805","CHIP-LED0805","LED","","","","","","",
